party_1	party_2	fj_avg	bc_avg	fj_real	bc_real
Christlich Demokratische Union Deutschlands	Partido Socialista Obrero Espanol	0.983221	0.991540	0.986577	0.993243
Christlich Demokratische Union Deutschlands	Partito Democratico	0.983221	0.991540	0.986577	0.993243
Christlich Demokratische Union Deutschlands	-1	0.983165	0.991511	0.986532	0.993220
Christlich Demokratische Union Deutschlands	Die Grünen - Die Grüne Alternative	0.983165	0.991511	0.986532	0.993220
Christlich Demokratische Union Deutschlands	Sozialdemokratische Partei Deutschlands	0.983108	0.991482	0.986532	0.993220
Christlich Demokratische Union Deutschlands	Platforma Obywatelska	0.982993	0.991424	0.989831	0.994889
Christlich Demokratische Union Deutschlands	Mouvement Démocrate	0.982993	0.991424	0.989796	0.994872
Christlich Demokratische Union Deutschlands	Democraten 66	0.982993	0.991424	0.986532	0.993220
Christlich Demokratische Union Deutschlands	Partija 'VIENOTIBA'	0.982993	0.991424	0.986395	0.993151
Christlich Demokratische Union Deutschlands	United Kingdom Independence Party	0.979866	0.989831	0.983221	0.991540
Christlich Demokratische Union Deutschlands	Labour Party	0.979798	0.989796	0.983221	0.991540
Christlich Demokratische Union Deutschlands	Parti socialiste	0.979730	0.989761	0.993243	0.996610
Christlich Demokratische Union Deutschlands	Österreichische Volkspartei	0.979730	0.989761	0.986486	0.993197
Christlich Demokratische Union Deutschlands	Christen Democratisch Appel	0.979730	0.989761	0.983165	0.991511
Christlich Demokratische Union Deutschlands	Izquierda Unida	0.979730	0.989761	0.983165	0.991511
Christlich-Soziale Union in Bayern e.V.	Christlich-Soziale Union in Bayern e.V.	1.000000	1.000000	0.996552	0.998273
Christlich-Soziale Union in Bayern e.V.	Sozialdemokratische Partei Österreichs	0.996540	0.998267	1.000000	1.000000
Christlich-Soziale Union in Bayern e.V.	Green Party	0.996540	0.998267	0.983051	0.991453
Christlich-Soziale Union in Bayern e.V.	Partit Nazzjonalista	0.996528	0.998261	0.989655	0.994801
Christlich-Soziale Union in Bayern e.V.	Partija 'VIENOTIBA'	0.993103	0.996540	1.000000	1.000000
