party_1	eu_2	fj_avg	bc_avg	fj_real	bc_real
Democraten 66	GUE-NGL	0.837456	0.911538	0.000000	0.000000
Democraten 66	NI	0.000000	0.000000	0.000000	0.000000
Die Grünen - Die Grüne Alternative	Greens/EFA	0.858156	0.923664	0.000000	0.000000
Die Grünen - Die Grüne Alternative	EPP	0.836806	0.911153	0.000000	0.000000
Die Grünen - Die Grüne Alternative	ECR	0.836237	0.910816	0.000000	0.000000
Die Grünen - Die Grüne Alternative	EFDD	0.832168	0.908397	0.000000	0.000000
Die Grünen - Die Grüne Alternative	S&D	0.823129	0.902985	0.000000	0.000000
Die Grünen - Die Grüne Alternative	ALDE/ADLE	0.808362	0.894027	0.000000	0.000000
Die Grünen - Die Grüne Alternative	GUE-NGL	0.795775	0.886275	0.000000	0.000000
Die Grünen - Die Grüne Alternative	NI	0.000000	0.000000	0.000000	0.000000
Europe Écologie	Greens/EFA	0.829787	0.906977	0.000000	0.000000
Europe Écologie	ECR	0.814685	0.897881	0.000000	0.000000
Europe Écologie	EPP	0.809028	0.894434	0.000000	0.000000
Europe Écologie	EFDD	0.797909	0.887597	0.000000	0.000000
Europe Écologie	S&D	0.795918	0.886364	0.000000	0.000000
Europe Écologie	GUE-NGL	0.780142	0.876494	0.000000	0.000000
Europe Écologie	ALDE/ADLE	0.768166	0.868885	0.000000	0.000000
Europe Écologie	NI	0.000000	0.000000	0.000000	0.000000
Fine Gael Party	ALDE/ADLE	0.703971	0.826271	0.000000	0.000000
Fine Gael Party	Greens/EFA	0.679577	0.809224	0.000000	0.000000
Fine Gael Party	EPP	0.679443	0.809129	0.000000	0.000000
Fine Gael Party	ECR	0.678322	0.808333	0.000000	0.000000
Fine Gael Party	GUE-NGL	0.665468	0.799136	0.000000	0.000000
Fine Gael Party	S&D	0.663265	0.797546	0.000000	0.000000
Fine Gael Party	EFDD	0.662021	0.796646	0.000000	0.000000
Fine Gael Party	NI	0.000000	0.000000	0.000000	0.000000
Forza Italia	ALDE/ADLE	0.898917	0.946768	0.000000	0.000000
Forza Italia	EPP	0.867596	0.929104	0.000000	0.000000
Forza Italia	ECR	0.867133	0.928839	0.000000	0.000000
Forza Italia	Greens/EFA	0.863158	0.926554	0.000000	0.000000
Forza Italia	EFDD	0.856643	0.922787	0.000000	0.000000
Forza Italia	S&D	0.846939	0.917127	0.000000	0.000000
Forza Italia	GUE-NGL	0.833333	0.909091	0.000000	0.000000
Forza Italia	NI	0.000000	0.000000	0.000000	0.000000
Freie Demokratische Partei	ALDE/ADLE	0.880866	0.936660	0.000000	0.000000
